filename,PSNR,SSIM,MSE
4522.jpg,24.5858,0.9627,0.003479
4526.jpg,27.8768,0.9428,0.001630
4529.jpg,22.7412,0.8876,0.005320
4533.jpg,27.2154,0.9679,0.001899
4536.jpg,27.6088,0.9543,0.001734
4540.jpg,21.7709,0.9148,0.006651
4544.jpg,20.7498,0.9079,0.008414
4546.jpg,25.9620,0.9527,0.002534
4549.jpg,24.8143,0.9501,0.003300
4571.jpg,25.3047,0.9275,0.002948
4572.jpg,23.8546,0.9435,0.004117
4582.jpg,26.5157,0.9646,0.002231
4590.jpg,27.2749,0.9493,0.001873
4592.jpg,23.9806,0.9256,0.003999
4594.jpg,22.7607,0.9255,0.005296
4618.jpg,28.8299,0.9554,0.001309
462.jpg,25.5132,0.9521,0.002810
4636.jpg,22.5422,0.9213,0.005569
4638.jpg,24.4150,0.9483,0.003618
465.jpg,26.5768,0.9292,0.002199
4655.jpg,20.2785,0.8953,0.009379
4657.jpg,27.0967,0.9421,0.001951
4661.jpg,19.2339,0.8509,0.011929
4665.jpg,20.7135,0.9101,0.008485
4666.jpg,15.6575,0.7962,0.027180
4669.jpg,23.6613,0.8735,0.004304
4671.jpg,20.6603,0.8660,0.008590
4673.jpg,19.5026,0.8949,0.011214
4677.jpg,23.7154,0.9491,0.004251
4692.jpg,24.9534,0.8543,0.003196
4696.jpg,19.6651,0.8363,0.010802
4698.jpg,23.3959,0.7690,0.004575
4703.jpg,28.6004,0.8971,0.001380
4706.jpg,25.0252,0.9612,0.003144
